"nachw"	"zeitn"	"gru"	"subject"	"grpzugeh"
5.909090909	1	"PAo"	"1"	2
7.777777778	2	"PAo"	"1"	2
NA	3	"PAo"	"1"	2
5	4	"PAo"	"1"	2
8.076923077	5	"PAo"	"1"	2
4.210526316	6	"PAo"	"1"	2
5	1	"PPm"	"2"	1
5.555555556	2	"PPm"	"2"	1
5.5	3	"PPm"	"2"	1
6.818181818	4	"PPm"	"2"	1
7.692307692	5	"PPm"	"2"	1
8.421052632	6	"PPm"	"2"	1
4.090909091	1	"PAm"	"3"	2
5.555555556	2	"PAm"	"3"	2
2.5	3	"PAm"	"3"	2
5	4	"PAm"	"3"	2
3.076923077	5	"PAm"	"3"	2
8.421052632	6	"PAm"	"3"	2
7.727272727	1	"PPo"	"4"	1
6.111111111	2	"PPo"	"4"	1
6	3	"PPo"	"4"	1
5	4	"PPo"	"4"	1
3.846153846	5	"PPo"	"4"	1
3.157894737	6	"PPo"	"4"	1
7.727272727	1	"PAm"	"5"	7
8.333333333	2	"PAm"	"5"	7
4.5	3	"PAm"	"5"	7
4.090909091	4	"PAm"	"5"	7
2.307692308	5	"PAm"	"5"	7
5.263157895	6	"PAm"	"5"	7
4.090909091	1	"PPo"	"6"	4
NA	2	"PPo"	"6"	4
1.5	3	"PPo"	"6"	4
2.727272727	4	"PPo"	"6"	4
4.230769231	5	"PPo"	"6"	4
3.157894737	6	"PPo"	"6"	4
6.363636364	1	"PPo"	"7"	6
5	2	"PPo"	"7"	6
5.5	3	"PPo"	"7"	6
4.090909091	4	"PPo"	"7"	6
7.307692308	5	"PPo"	"7"	6
5.263157895	6	"PPo"	"7"	6
5.909090909	1	"PPo"	"8"	3
6.111111111	2	"PPo"	"8"	3
5	3	"PPo"	"8"	3
5.909090909	4	"PPo"	"8"	3
7.692307692	5	"PPo"	"8"	3
4.736842105	6	"PPo"	"8"	3
6.818181818	1	"PAo"	"9"	3
7.222222222	2	"PAo"	"9"	3
4.5	3	"PAo"	"9"	3
NA	4	"PAo"	"9"	3
4.615384615	5	"PAo"	"9"	3
6.842105263	6	"PAo"	"9"	3
4.090909091	1	"PPo"	"10"	6
2.777777778	2	"PPo"	"10"	6
1	3	"PPo"	"10"	6
2.727272727	4	"PPo"	"10"	6
3.846153846	5	"PPo"	"10"	6
7.368421053	6	"PPo"	"10"	6
4.545454545	1	"PAm"	"11"	4
4.444444444	2	"PAm"	"11"	4
3.5	3	"PAm"	"11"	4
2.727272727	4	"PAm"	"11"	4
6.153846154	5	"PAm"	"11"	4
4.210526316	6	"PAm"	"11"	4
7.272727273	1	"PAo"	"12"	6
6.666666667	2	"PAo"	"12"	6
3.5	3	"PAo"	"12"	6
5.909090909	4	"PAo"	"12"	6
6.153846154	5	"PAo"	"12"	6
7.368421053	6	"PAo"	"12"	6
6.818181818	1	"PAm"	"13"	6
6.111111111	2	"PAm"	"13"	6
4.5	3	"PAm"	"13"	6
5	4	"PAm"	"13"	6
3.846153846	5	"PAm"	"13"	6
7.368421053	6	"PAm"	"13"	6
5	1	"PPo"	"14"	5
5.555555556	2	"PPo"	"14"	5
4.5	3	"PPo"	"14"	5
3.636363636	4	"PPo"	"14"	5
4.615384615	5	"PPo"	"14"	5
6.315789474	6	"PPo"	"14"	5
6.363636364	1	"PPm"	"15"	2
6.666666667	2	"PPm"	"15"	2
6	3	"PPm"	"15"	2
4.545454545	4	"PPm"	"15"	2
6.153846154	5	"PPm"	"15"	2
6.315789474	6	"PPm"	"15"	2
NA	1	"PPo"	"16"	1
NA	2	"PPo"	"16"	1
2	3	"PPo"	"16"	1
4.090909091	4	"PPo"	"16"	1
3.461538462	5	"PPo"	"16"	1
7.368421053	6	"PPo"	"16"	1
5.909090909	1	"PAm"	"17"	6
1.111111111	2	"PAm"	"17"	6
6	3	"PAm"	"17"	6
5.454545455	4	"PAm"	"17"	6
4.230769231	5	"PAm"	"17"	6
5.263157895	6	"PAm"	"17"	6
6.818181818	1	"PPo"	"18"	2
6.111111111	2	"PPo"	"18"	2
4	3	"PPo"	"18"	2
2.727272727	4	"PPo"	"18"	2
1.538461538	5	"PPo"	"18"	2
4.736842105	6	"PPo"	"18"	2
5.454545455	1	"PPm"	"19"	1
3.888888889	2	"PPm"	"19"	1
3.5	3	"PPm"	"19"	1
5.454545455	4	"PPm"	"19"	1
3.076923077	5	"PPm"	"19"	1
5.789473684	6	"PPm"	"19"	1
5.909090909	1	"PPm"	"20"	3
5.555555556	2	"PPm"	"20"	3
5	3	"PPm"	"20"	3
5.909090909	4	"PPm"	"20"	3
3.076923077	5	"PPm"	"20"	3
7.368421053	6	"PPm"	"20"	3
5	1	"PPm"	"21"	7
7.777777778	2	"PPm"	"21"	7
NA	3	"PPm"	"21"	7
5	4	"PPm"	"21"	7
9.230769231	5	"PPm"	"21"	7
8.421052632	6	"PPm"	"21"	7
8.181818182	1	"PAm"	"22"	4
7.222222222	2	"PAm"	"22"	4
4.5	3	"PAm"	"22"	4
5	4	"PAm"	"22"	4
6.153846154	5	"PAm"	"22"	4
5.789473684	6	"PAm"	"22"	4
6.818181818	1	"PAo"	"23"	3
7.222222222	2	"PAo"	"23"	3
2.5	3	"PAo"	"23"	3
6.363636364	4	"PAo"	"23"	3
7.307692308	5	"PAo"	"23"	3
8.421052632	6	"PAo"	"23"	3
4.545454545	1	"PAo"	"24"	7
5	2	"PAo"	"24"	7
5.5	3	"PAo"	"24"	7
3.636363636	4	"PAo"	"24"	7
0.769230769	5	"PAo"	"24"	7
6.842105263	6	"PAo"	"24"	7
6.363636364	1	"PAo"	"25"	7
3.888888889	2	"PAo"	"25"	7
2.5	3	"PAo"	"25"	7
2.727272727	4	"PAo"	"25"	7
2.307692308	5	"PAo"	"25"	7
3.684210526	6	"PAo"	"25"	7
5	1	"PAo"	"26"	3
6.111111111	2	"PAo"	"26"	3
1	3	"PAo"	"26"	3
4.090909091	4	"PAo"	"26"	3
NA	5	"PAo"	"26"	3
4.210526316	6	"PAo"	"26"	3
6.818181818	1	"PAm"	"27"	1
6.666666667	2	"PAm"	"27"	1
2.5	3	"PAm"	"27"	1
3.181818182	4	"PAm"	"27"	1
2.307692308	5	"PAm"	"27"	1
5.263157895	6	"PAm"	"27"	1
4.545454545	1	"PAm"	"28"	7
3.888888889	2	"PAm"	"28"	7
6	3	"PAm"	"28"	7
3.181818182	4	"PAm"	"28"	7
7.692307692	5	"PAm"	"28"	7
3.684210526	6	"PAm"	"28"	7
4.090909091	1	"PPm"	"29"	5
NA	2	"PPm"	"29"	5
2.5	3	"PPm"	"29"	5
5.909090909	4	"PPm"	"29"	5
4.615384615	5	"PPm"	"29"	5
5.789473684	6	"PPm"	"29"	5
6.818181818	1	"PPm"	"30"	4
6.111111111	2	"PPm"	"30"	4
4.5	3	"PPm"	"30"	4
3.636363636	4	"PPm"	"30"	4
8.461538462	5	"PPm"	"30"	4
5.789473684	6	"PPm"	"30"	4
5.909090909	1	"PAo"	"31"	6
8.333333333	2	"PAo"	"31"	6
5.5	3	"PAo"	"31"	6
5.454545455	4	"PAo"	"31"	6
9.230769231	5	"PAo"	"31"	6
8.421052632	6	"PAo"	"31"	6
3.636363636	1	"PAo"	"32"	5
5	2	"PAo"	"32"	5
3.5	3	"PAo"	"32"	5
1.363636364	4	"PAo"	"32"	5
1.538461538	5	"PAo"	"32"	5
3.157894737	6	"PAo"	"32"	5
5	1	"PAo"	"33"	3
5	2	"PAo"	"33"	3
4.5	3	"PAo"	"33"	3
4.090909091	4	"PAo"	"33"	3
2.307692308	5	"PAo"	"33"	3
4.210526316	6	"PAo"	"33"	3
5.909090909	1	"PAo"	"34"	5
2.777777778	2	"PAo"	"34"	5
3.5	3	"PAo"	"34"	5
3.636363636	4	"PAo"	"34"	5
3.076923077	5	"PAo"	"34"	5
7.894736842	6	"PAo"	"34"	5
6.363636364	1	"PPo"	"35"	7
7.222222222	2	"PPo"	"35"	7
3	3	"PPo"	"35"	7
4.545454545	4	"PPo"	"35"	7
5	5	"PPo"	"35"	7
7.368421053	6	"PPo"	"35"	7
7.727272727	1	"PPo"	"36"	5
7.222222222	2	"PPo"	"36"	5
6.5	3	"PPo"	"36"	5
5	4	"PPo"	"36"	5
6.923076923	5	"PPo"	"36"	5
7.368421053	6	"PPo"	"36"	5
5	1	"PAo"	"37"	2
6.111111111	2	"PAo"	"37"	2
7.5	3	"PAo"	"37"	2
8.181818182	4	"PAo"	"37"	2
7.307692308	5	"PAo"	"37"	2
4.210526316	6	"PAo"	"37"	2
6.363636364	1	"PPo"	"38"	3
8.333333333	2	"PPo"	"38"	3
1.5	3	"PPo"	"38"	3
3.181818182	4	"PPo"	"38"	3
3.846153846	5	"PPo"	"38"	3
4.736842105	6	"PPo"	"38"	3
7.727272727	1	"PPm"	"39"	3
4.444444444	2	"PPm"	"39"	3
5.5	3	"PPm"	"39"	3
4.545454545	4	"PPm"	"39"	3
6.538461538	5	"PPm"	"39"	3
8.421052632	6	"PPm"	"39"	3
4.090909091	1	"PAo"	"40"	4
2.777777778	2	"PAo"	"40"	4
2.5	3	"PAo"	"40"	4
3.181818182	4	"PAo"	"40"	4
1.923076923	5	"PAo"	"40"	4
3.684210526	6	"PAo"	"40"	4
7.272727273	1	"PPo"	"41"	7
7.222222222	2	"PPo"	"41"	7
4	3	"PPo"	"41"	7
3.181818182	4	"PPo"	"41"	7
2.307692308	5	"PPo"	"41"	7
5.789473684	6	"PPo"	"41"	7
6.363636364	1	"PAo"	"42"	7
4.444444444	2	"PAo"	"42"	7
3	3	"PAo"	"42"	7
4.545454545	4	"PAo"	"42"	7
5.769230769	5	"PAo"	"42"	7
6.315789474	6	"PAo"	"42"	7
6.363636364	1	"PAm"	"43"	5
6.666666667	2	"PAm"	"43"	5
5	3	"PAm"	"43"	5
5	4	"PAm"	"43"	5
6.923076923	5	"PAm"	"43"	5
NA	6	"PAm"	"43"	5
5.909090909	1	"PPm"	"44"	2
4.444444444	2	"PPm"	"44"	2
8	3	"PPm"	"44"	2
6.818181818	4	"PPm"	"44"	2
9.230769231	5	"PPm"	"44"	2
7.368421053	6	"PPm"	"44"	2
7.272727273	1	"PPo"	"45"	2
5	2	"PPo"	"45"	2
4	3	"PPo"	"45"	2
5.454545455	4	"PPo"	"45"	2
3.846153846	5	"PPo"	"45"	2
NA	6	"PPo"	"45"	2
8.181818182	1	"PAm"	"46"	5
7.777777778	2	"PAm"	"46"	5
8	3	"PAm"	"46"	5
7.272727273	4	"PAm"	"46"	5
8.461538462	5	"PAm"	"46"	5
8.947368421	6	"PAm"	"46"	5
3.636363636	1	"PPm"	"47"	4
5.555555556	2	"PPm"	"47"	4
6	3	"PPm"	"47"	4
4.090909091	4	"PPm"	"47"	4
5	5	"PPm"	"47"	4
7.894736842	6	"PPm"	"47"	4
NA	1	"PAo"	"48"	2
3.333333333	2	"PAo"	"48"	2
4.5	3	"PAo"	"48"	2
5.909090909	4	"PAo"	"48"	2
6.923076923	5	"PAo"	"48"	2
6.315789474	6	"PAo"	"48"	2
8.181818182	1	"PAm"	"49"	2
7.777777778	2	"PAm"	"49"	2
8.5	3	"PAm"	"49"	2
8.181818182	4	"PAm"	"49"	2
10	5	"PAm"	"49"	2
6.842105263	6	"PAm"	"49"	2
5.454545455	1	"PPm"	"50"	5
7.222222222	2	"PPm"	"50"	5
3.5	3	"PPm"	"50"	5
6.363636364	4	"PPm"	"50"	5
7.307692308	5	"PPm"	"50"	5
5.263157895	6	"PPm"	"50"	5
6.363636364	1	"PAo"	"51"	1
3.888888889	2	"PAo"	"51"	1
3	3	"PAo"	"51"	1
4.545454545	4	"PAo"	"51"	1
5.769230769	5	"PAo"	"51"	1
3.157894737	6	"PAo"	"51"	1
5.454545455	1	"PPm"	"52"	4
5.555555556	2	"PPm"	"52"	4
3	3	"PPm"	"52"	4
5.909090909	4	"PPm"	"52"	4
5.384615385	5	"PPm"	"52"	4
6.315789474	6	"PPm"	"52"	4
6.818181818	1	"PPo"	"53"	1
3.333333333	2	"PPo"	"53"	1
2	3	"PPo"	"53"	1
