"population"	"km^2"	"ppkm^2"	"death"	"birth"	"age (mean)"
"Nordrhein-Westfalen"	17877808	34097	524	202250	173274	44
"Bayern"	12887133	70551	183	129552	125686	43.6
"Baden-Württemberg"	10915756	35751	306	106630	107479	43.3
"Niedersachsen"	7936142	47634	167	92368	75215	44.4
"Hessen"	6194630	21114	294	64081	60731	43.7
"Sachsen"	4083317	18415	221	53330	37940	46.7
"Rheinland-Pfalz"	4059428	19853	205	45863	37518	44.6
"Berlin"	3547431	891	4012	34050	41086	42.6
"Schlwesig-Holstein"	2870320	15799	182	33879	25420	45
"Brandenburg"	2489737	29485	84	30790	20934	46.9
"Sachsen-Anhalt"	2240861	20446	109	31453	18092	47.5
"Thüringen"	2164421	16172	133	28312	18475	47
"Hamburg"	1798923	755	2397	17267	21480	42.1
"Mecklenburg-Vorpommern"	1611518	23180	69	20445	13442	46.7
"Saarland"	996124	2569	388	12897	8215	46.1
"Bremen"	675121	419	1617	7732	7136	43.6
