PR	QU	WS	WM	L	WomenP
Sweden	1	1	1	0	0	1
Finland	1	0	1	0	0	1
Norway	1	1	1	1	1	1
Denmark	1	0	1	1	1	1
Netherlands	1	1	0	1	1	1
Spain	1	1	0	1	0	1
Belgium	1	1	0	1	1	1
Austria	1	1	0	0	1	1
New Zealand	0	0	0	1	1	1
Iceland	1	1	1	1	1	1
Germany	0	1	0	1	1	1
Switzerland	1	1	0	0	0	0
Australia	0	1	0	1	0	0
Luxembourg	1	0	0	0	1	0
Portugal	1	1	0	0	0	0
Canada	0	0	0	1	0	0
United Kingdom	0	1	0	1	0	0
France	0	1	0	1	0	0
Italy	0	1	0	0	0	0
United States	0	0	0	1	0	0
Greece	1	1	0	0	0	0
Ireland	0	1	0	1	0	0
