electsystem	Quotas	Wstatus	Wmovement	LpartyStr	WiNP.perc
Sweden	PR	Yes	Soc Dem	Non	5	47.3
Finland	PR	No	Soc Dem	Non	5	42.0
Norway	PR	Yes	Soc Dem	Autonomous	14	37.9
Denmark	PR	No	Soc Dem	Autonomous	7	36.9
Netherlands	PR	Yes	Conservative	Autonomous	7	36.7
Spain	PR	Yes	Conservative	Autonomous	0	36.0
Belgium	PR	Yes	Conservative	Autonomous	13	34.7
Austria	PR	Yes	Conservative	Non	8	32.2
New Zealand	Mixed	No	Liberal	Autonomous	9	32.2
Iceland	PR	Yes	Soc Dem	Autonomous	9	31.7
Germany	Mixed	Yes	Conservative	Autonomous	7	31.6
Switzerland	PR	Yes	Conservative	Non	4	25.0
Australia	Majority	Yes	Liberal	Autonomous	0	24.7
Luxembourg	PR	No	Conservative	Non	7	23.3
Portugal	PR	Yes	Conservative	Non	0	21.3
Canada	Majority	No	Liberal	Autonomous	0	20.8
United Kingdom	Majority	Yes	Liberal	Autonomous	0	19.7
France	Majority	Yes	Conservative	Autonomous	0	18.5
Italy	Mixed	Yes	Conservative	Non	3	17.3
United States	Majority	No	Liberal	Autonomous	0	16.3
Greece	PR	Yes	Conservative	Non	0	13.0
Ireland	Majority	Yes	Liberal	Autonomous	2	13.3
