"CODE"	"lfd"	"trial"	"Upn"	"treat"	"ansshort"	"anslong"	"subjsicher"	"lfd"	"trial"	"Upn"	"solution"	"differ"
"1"	"ST315"	1	1	1	"C"	1	"Herz"	50	1	1	1	"Karo"	"FALSCH"
"2"	"ST315"	2	2	1	"C"	3	"Kreuz"	50	2	2	1	"Herz"	"FALSCH"
"3"	"ST315"	3	3	1	"C"	3	"Kreuz"	50	3	3	1	"Herz"	"FALSCH"
"4"	"ST315"	4	4	1	"C"	1	"Herz"	40	4	4	1	"Herz"	"WAHR"
"5"	"ST315"	5	5	1	"C"	4	"Pik"	50	5	5	1	"Kreuz"	"FALSCH"
"6"	"ST315"	6	6	1	"C"	3	"Kreuz"	60	6	6	1	"Herz"	"FALSCH"
"7"	"ST315"	7	7	1	"C"	1	"Herz"	50	7	7	1	"Karo"	"FALSCH"
"8"	"ST315"	8	8	1	"C"	1	"Herz"	50	8	8	1	"Karo"	"FALSCH"
"9"	"ST315"	9	9	1	"C"	1	"Herz"	50	9	9	1	"Herz"	"WAHR"
"10"	"ST315"	10	10	1	"C"	2	"Karo"	50	10	10	1	"Herz"	"FALSCH"
"11"	"ST315"	11	11	1	"C"	2	"Karo"	60	11	11	1	"Herz"	"FALSCH"
"12"	"ST315"	12	12	1	"C"	2	"Karo"	50	12	12	1	"Herz"	"FALSCH"
"13"	"ST315"	13	13	1	"C"	3	"Kreuz"	70	13	13	1	"Pik"	"FALSCH"
"14"	"ST315"	14	14	1	"C"	3	"Kreuz"	40	14	14	1	"Kreuz"	"WAHR"
"15"	"ST315"	15	15	1	"C"	4	"Pik"	20	15	15	1	"Pik"	"WAHR"
"16"	"ST315"	16	16	1	"C"	3	"Kreuz"	40	16	16	1	"Kreuz"	"WAHR"
"17"	"ST315"	17	17	1	"C"	2	"Karo"	40	17	17	1	"Pik"	"FALSCH"
"18"	"ST315"	18	18	1	"C"	1	"Herz"	60	18	18	1	"Pik"	"FALSCH"
"19"	"ST315"	19	19	1	"C"	1	"Herz"	50	19	19	1	"Karo"	"FALSCH"
"20"	"ST315"	20	20	1	"C"	1	"Herz"	50	20	20	1	"Karo"	"FALSCH"
"21"	"MA71"	21	1	2	"C"	4	"Pik"	50	21	1	2	"Pik"	"WAHR"
"22"	"MA71"	22	2	2	"C"	2	"Karo"	30	22	2	2	"Pik"	"FALSCH"
"23"	"MA71"	23	3	2	"C"	1	"Herz"	70	23	3	2	"Karo"	"FALSCH"
"24"	"MA71"	24	4	2	"C"	2	"Karo"	40	24	4	2	"Karo"	"WAHR"
"25"	"MA71"	25	5	2	"C"	4	"Pik"	30	25	5	2	"Karo"	"FALSCH"
"26"	"MA71"	26	6	2	"C"	3	"Kreuz"	40	26	6	2	"Kreuz"	"WAHR"
"27"	"MA71"	27	7	2	"C"	1	"Herz"	50	27	7	2	"Herz"	"WAHR"
"28"	"MA71"	28	8	2	"C"	4	"Pik"	50	28	8	2	"Kreuz"	"FALSCH"
"29"	"MA71"	29	9	2	"C"	2	"Karo"	50	29	9	2	"Kreuz"	"FALSCH"
"30"	"MA71"	30	10	2	"C"	1	"Herz"	60	30	10	2	"Karo"	"FALSCH"
