"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"1"	1	270	130	0.83	16	"m"	9	"1"	"R"	254	129	0.16	"1"	"Realschule"	"R"
"2"	2	248	126	0.91	15	"w"	9	"1"	"R"	234	125	NA	"1"	"Realschule"	"R"
"3"	3	137	94	1.64	14	"m"	9	"1"	"R"	125	93	NA	"1"	"Realschule"	"R"
"4"	4	245	128	0.92	15	"w"	9	"1"	"R"	220	127	NA	"1"	"Realschule"	"R"
"5"	5	232	115	0.97	15	"m"	9	"1"	"R"	213	114	NA	"1"	"Realschule"	"R"
"6"	6	271	150	0.83	15	"w"	9	"1"	"R"	251	149	NA	"1"	"Realschule"	"R"
"7"	7	158	89	1.43	15	"w"	9	"1"	"R"	141	88	NA	"1"	"Realschule"	"R"
"8"	8	121	76	1.86	15	"m"	9	"1"	"R"	108	75	NA	"1"	"Realschule"	"R"
"9"	9	156	76	1.44	15	"m"	9	"1"	"R"	140	75	NA	"1"	"Realschule"	"R"
"10"	10	91	53	2.47	15	"m"	9	"1"	"R"	71	52	0.57	"1"	"Realschule"	"R"
"11"	11	306	145	0.74	16	"w"	9	"1"	"R"	281	144	0.14	"1"	"Realschule"	"R"
"12"	12	145	90	1.55	15	"m"	9	"1"	"R"	132	89	0.3	"1"	"Realschule"	"R"
"13"	13	197	95	1.14	15	"m"	9	"1"	"R"	182	94	0.22	"1"	"Realschule"	"R"
"14"	14	345	180	0.65	15	"m"	9	"1"	"R"	311	179	NA	"1"	"Realschule"	"R"
"15"	15	171	98	1.32	15	"m"	9	"1"	"R"	150	95	NA	"1"	"Realschule"	"R"
"16"	16	182	118	1.24	16	"m"	9	"1"	"R"	158	117	NA	"1"	"Realschule"	"R"
"17"	17	135	85	1.67	14	"m"	9	"1"	"R"	124	84	NA	"1"	"Realschule"	"R"
"18"	18	97	73	2.32	15	"m"	9	"1"	"R"	88	72	NA	"1"	"Realschule"	"R"
"19"	19	115	71	1.96	15	"m"	9	"1"	"R"	103	70	NA	"1"	"Realschule"	"R"
"20"	20	191	107	1.18	15	"m"	9	"1"	"R"	174	106	NA	"1"	"Realschule"	"R"
"21"	21	204	111	1.1	16	"m"	9	"1"	"R"	183	110	NA	"1"	"Realschule"	"R"
"22"	22	171	92	1.32	16	"m"	9	"1"	"R"	157	91	NA	"1"	"Realschule"	"R"
"23"	23	187	114	1.2	14	"m"	9	"1"	"R"	164	113	NA	"1"	"Realschule"	"R"
"24"	24	202	117	1.11	15	"w"	9	"1"	"R"	188	116	NA	"1"	"Realschule"	"R"
"25"	25	142	90	1.59	15	"m"	9	"1"	"R"	130	89	NA	"1"	"Realschule"	"R"
"26"	26	215	123	1.05	15	"w"	9	"1"	"R"	196	122	NA	"1"	"Realschule"	"R"
"27"	27	269	145	0.84	15	"w"	9	"1"	"R"	248	144	NA	"1"	"Realschule"	"R"
"28"	28	209	112	1.08	14	"m"	9	"1"	"R"	194	111	NA	"1"	"Realschule"	"R"
"29"	29	170	88	1.32	18	"m"	9	"1"	"R"	150	87	NA	"1"	"Realschule"	"R"
"30"	30	158	95	1.43	15	"m"	9	"1"	"R"	143	94	NA	"1"	"Realschule"	"R"
"31"	31	160	78	1.41	15	"m"	9	"1"	"R"	136	77	NA	"1"	"Realschule"	"R"
"32"	32	377	204	0.6	16	"w"	10	"1"	"R"	342	202	NA	"1"	"Realschule"	"R"
"33"	33	158	88	1.43	15	"m"	9	"1"	"R"	144	87	NA	"1"	"Realschule"	"R"
"34"	34	148	81	1.52	15	"w"	9	"1"	"R"	136	80	NA	"1"	"Realschule"	"R"
"35"	35	98	57	2.3	15	"w"	9	"1"	"R"	85	56	NA	"1"	"Realschule"	"R"
"36"	36	387	188	0.58	15	"w"	9	"1"	"R"	351	187	NA	"1"	"Realschule"	"R"
"37"	37	71	43	3.17	15	"m"	9	"1"	"R"	61	42	NA	"1"	"Realschule"	"R"
"38"	38	80	55	2.81	NA	"w"	9	"1"	"R"	70	54	NA	"1"	"Realschule"	"R"
"39"	39	194	115	1.16	14	"m"	9	"1"	"R"	180	114	NA	"1"	"Realschule"	"R"
"40"	40	160	93	1.41	14	"m"	9	"1"	"R"	148	92	NA	"1"	"Realschule"	"R"
"41"	41	248	143	0.91	14	"w"	9	"1"	"R"	232	140	NA	"1"	"Realschule"	"R"
"42"	42	244	127	0.92	15	"m"	9	"1"	"R"	224	126	NA	"1"	"Realschule"	"R"
"43"	43	212	133	1.06	14	"m"	9	"1"	"R"	194	132	NA	"1"	"Realschule"	"R"
"44"	44	124	75	1.82	15	"w"	9	"1"	"R"	114	74	NA	"1"	"Realschule"	"R"
"45"	45	132	87	1.71	15	"m"	9	"1"	"R"	115	86	NA	"1"	"Realschule"	"R"
"46"	46	104	72	2.16	15	"m"	9	"1"	"R"	94	71	NA	"1"	"Realschule"	"R"
"47"	47	115	69	1.96	15	"m"	9	"1"	"R"	102	68	NA	"1"	"Realschule"	"R"
"48"	48	91	63	2.47	15	"m"	9	"1"	"R"	81	62	NA	"1"	"Realschule"	"R"
"49"	49	98	58	2.3	15	"m"	9	"1"	"R"	88	57	NA	"1"	"Realschule"	"R"
"50"	50	130	77	1.73	14	"w"	9	"1"	"R"	111	75	NA	"1"	"Realschule"	"R"
"51"	51	98	69	2.3	15	"m"	9	"1"	"R"	84	68	NA	"1"	"Realschule"	"R"
"52"	52	120	81	1.88	15	"m"	9	"1"	"R"	104	80	NA	"1"	"Realschule"	"R"
"53"	53	134	85	1.68	15	"m"	9	"1"	"R"	122	84	NA	"1"	"Realschule"	"R"
"54"	54	67	43	3.36	14	"m"	9	"1"	"R"	55	42	NA	"1"	"Realschule"	"R"
"55"	55	145	82	1.55	15	"w"	9	"1"	"R"	133	81	NA	"1"	"Realschule"	"R"
"56"	56	112	75	2.01	15	"m"	9	"1"	"R"	94	71	NA	"1"	"Realschule"	"R"
"57"	57	133	70	1.69	15	"m"	9	"1"	"R"	114	69	NA	"1"	"Realschule"	"R"
"58"	58	165	100	1.36	15	"m"	9	"1"	"R"	151	99	NA	"1"	"Realschule"	"R"
"59"	59	191	103	1.18	15	"m"	9	"1"	"R"	170	102	NA	"1"	"Realschule"	"R"
"60"	60	138	83	1.63	15	"m"	9	"1"	"R"	123	82	NA	"1"	"Realschule"	"R"
"61"	61	189	118	1.19	15	"m"	9	"1"	"R"	173	117	NA	"1"	"Realschule"	"R"
"62"	62	238	121	0.95	15	"w"	9	"1"	"R"	221	120	NA	"1"	"Realschule"	"R"
"63"	63	226	109	1	15	"w"	9	"1"	"R"	209	108	NA	"1"	"Realschule"	"R"
"64"	64	275	133	0.82	14	"w"	9	"1"	"R"	251	132	NA	"1"	"Realschule"	"R"
"65"	65	247	138	0.91	15	"w"	9	"1"	"R"	229	137	NA	"1"	"Realschule"	"R"
"66"	66	166	95	1.36	14	"w"	9	"1"	"R"	151	94	NA	"1"	"Realschule"	"R"
"67"	67	174	119	1.29	15	"m"	9	"1"	"R"	160	118	NA	"1"	"Realschule"	"R"
"68"	68	134	88	1.68	15	"m"	9	"1"	"R"	123	87	NA	"1"	"Realschule"	"R"
"69"	69	112	75	2.01	15	"m"	9	"1"	"R"	99	74	NA	"1"	"Realschule"	"R"
"70"	70	256	134	0.88	15	"m"	9	"1"	"R"	237	133	NA	"1"	"Realschule"	"R"
"71"	71	155	80	1.45	16	"m"	9	"1"	"R"	135	79	NA	"1"	"Realschule"	"R"
"72"	72	170	105	1.32	14	"m"	9	"1"	"R"	156	104	NA	"1"	"Realschule"	"R"
"73"	73	237	132	0.95	14	"m"	9	"1"	"R"	220	131	NA	"1"	"Realschule"	"R"
"74"	74	103	67	2.19	15	"w"	9	"1"	"R"	84	66	NA	"1"	"Realschule"	"R"
