charisma	emotion	anticipation	professionalism	participation	culturecontext	edutraining	administration
2	5	1	1	3	1	0	1
2	8	5	26	15	3	1	5
2	1	1	5	7	2	2	2
0	0	2	5	8	0	0	0
8	13	6	20	18	0	0	0
4	1	0	7	3	2	2	0
1	0	0	11	10	4	3	0
7	5	7	7	8	5	2	3
1	0	0	1	2	1	0	0
5	7	2	3	2	0	1	0
4	7	1	11	3	0	0	2
2	19	5	26	17	1	1	2
3	3	2	3	4	2	3	4
4	3	3	4	8	5	2	2
1	0	1	0	0	0	0	1
3	0	0	9	6	0	1	1
2	2	1	0	1	4	1	0
2	5	1	1	3	1	1	1
6	2	0	5	8	1	3	1
1	1	2	1	0	0	2	1
3	1	0	1	0	2	0	0
7	4	2	2	3	2	3	2
3	1	1	11	13	2	3	0
7	7	0	6	3	1	1	0
1	3	0	6	1	0	0	2
5	1	4	19	11	1	6	1
5	3	2	5	8	1	4	1
2	2	1	1	2	1	2	2
0	0	0	3	1	1	0	0
0	0	0	1	0	1	1	1
2	4	0	2	6	2	0	0
