"a.prior"	"b.prior"	"a.lik"	"b.lik"	"a.post"	"b.post"	"a"	"b"	"mode.prior"	"mean.prior"	"sd.prior"	"var.prior"	"a"	"b"	"mode.lik"	"mean.lik"	"sd.lik"	"var.lik"	"a"	"b"	"mode.post"	"mean.post"	"sd.post"	"var.post"
"1"	1	1	1	9	1	9	1	1	NA	0.5	0.288675134594813	0.0833333333333333	1	9	0	0.1	0.0904534033733291	0.00818181818181818	1	9	0	0.1	0.0904534033733291	0.00818181818181818
"2"	1	9	3	22	3	30	1	9	0	0.1	0.0904534033733291	0.00818181818181818	3	22	0.0869565217391304	0.12	0.0637302005452553	0.00406153846153846	3	30	0.0645161290322581	0.0909090909090909	0.0493023767769673	0.00243072435585805
"3"	3	30	16	28	18	57	3	30	0.0645161290322581	0.0909090909090909	0.0493023767769673	0.00243072435585805	16	28	0.357142857142857	0.363636363636364	0.071710057976965	0.00514233241505969	18	57	0.232876712328767	0.24	0.0489897948556636	0.0024
"4"	18	57	16	18	33	74	18	57	0.232876712328767	0.24	0.0489897948556636	0.0024	16	18	0.46875	0.470588235294118	0.0843690783059572	0.00711814137419674	33	74	0.304761904761905	0.308411214953271	0.0444403196812682	0.00197494201337332
"5"	33	74	16	12	48	85	33	74	0.304761904761905	0.308411214953271	0.0444403196812682	0.00197494201337332	16	12	0.576923076923077	0.571428571428571	0.0918953601289538	0.00844475721323012	48	85	0.358778625954198	0.360902255639098	0.041488338364552	0.00172128222025156
"6"	48	85	20	17	67	101	48	85	0.358778625954198	0.360902255639098	0.041488338364552	0.00172128222025156	20	17	0.542857142857143	0.540540540540541	0.0808436542724485	0.00653569643612318	67	101	0.397590361445783	0.398809523809524	0.0376656489342103	0.00141870110963518
"7"	67	101	21	19	87	119	67	101	0.397590361445783	0.398809523809524	0.0376656489342103	0.00141870110963518	21	19	0.526315789473684	0.525	0.0779892112613708	0.00608231707317073	87	119	0.42156862745098	0.422330097087379	0.0343305462623904	0.00117858640667413
"8"	87	119	19	13	105	131	87	119	0.42156862745098	0.422330097087379	0.0343305462623904	0.00117858640667413	19	13	0.6	0.59375	0.0854951597956566	0.00730942234848485	105	131	0.444444444444444	0.444915254237288	0.0322807875340028	0.00104204924381543
"9"	105	131	12	19	116	149	105	131	0.444444444444444	0.444915254237288	0.0322807875340028	0.00104204924381543	12	19	0.379310344827586	0.387096774193548	0.0861054697744461	0.00741415192507804	116	149	0.437262357414449	0.437735849056604	0.0304183348638958	0.000925275095892098
"10"	116	149	19	14	134	162	116	149	0.437262357414449	0.437735849056604	0.0304183348638958	0.000925275095892098	19	14	0.580645161290323	0.575757575757576	0.0847593114293671	0.00718414087398045	134	162	0.452380952380952	0.452702702702703	0.0288828450749601	0.000834218739624145
"11"	134	162	14	11	147	172	134	162	0.452380952380952	0.452702702702703	0.0288828450749601	0.000834218739624145	14	11	0.565217391304348	0.56	0.0973494893511161	0.00947692307692308	147	172	0.460567823343849	0.460815047021944	0.027864882662822	0.000776451685812836
"12"	147	172	18	11	164	182	147	172	0.460567823343849	0.460815047021944	0.027864882662822	0.000776451685812836	18	11	0.62962962962963	0.620689655172414	0.0885878108873457	0.00784780023781213	164	182	0.473837209302326	0.473988439306358	0.0268050598857065	0.000718511235476314
"13"	164	182	13	6	176	187	164	182	0.473837209302326	0.473988439306358	0.0268050598857065	0.000718511235476314	13	6	0.705882352941177	0.684210526315789	0.103939040305955	0.010803324099723	176	187	0.484764542936288	0.484848484848485	0.0261950855002293	0.000686182504364323
"14"	176	187	15	15	190	201	176	187	0.484764542936288	0.484848484848485	0.0261950855002293	0.000686182504364323	15	15	0.5	0.5	0.0898026510133875	0.00806451612903226	190	201	0.48586118251928	0.485933503836317	0.0252438178775496	0.000637250341034891
"15"	190	201	12	7	201	207	190	201	0.48586118251928	0.485933503836317	0.0252438178775496	0.000637250341034891	12	7	0.647058823529412	0.631578947368421	0.10786263964168	0.0116343490304709	201	207	0.492610837438424	0.492647058823529	0.024720735298172	0.000611114753682287
