year	org	IN	OUT	s	f	indiff	mpyear
1992	start again	8	2	0	2	0	3
1993	start again	49	23	2	21	0	12
1994	start again	39	42	15	27	0	12
1995	start again	29	32	15	17	0	12
1996	start again	31	26	15	11	0	12
1997	start again	30	35	19	16	0	12
1998	start again	36	38	20	18	0	12
1999	start again	33	30	18	12	0	12
2000	start again	27	29	11	18	0	12
2001	start again	28	31	18	13	0	12
2002	start again	25	23	13	10	0	12
2003	start again	21	27	17	10	0	12
2004	start again	22	17	12	5	0	12
2005	start again	15	28	14	8	6	12
2006	start again	23	17	11	3	3	12
2007	start again	21	20	17	3	0	12
2008	start again	12	17	8	7	2	12
2009	start again	27	26	9	16	1	12
2010	start again	24	20	7	12	1	12
2011	start again	17	15	10	5	0	12
2012	start again	13	18	13	5	0	12
2013	start again	18	18	11	7	0	12
2014	start again	15	23	7	14	2	12
2015	start again	10	15	6	7	2	12
2016	start again	12	12	2	10	0	12
2017	start again	1	3	2	1	0	3
