"a.prior"	"b.prior"	"a.lik"	"b.lik"	"a.post"	"b.post"	"a"	"b"	"mode.prior"	"mean.prior"	"sd.prior"	"var.prior"	"a"	"b"	"mode.lik"	"mean.lik"	"sd.lik"	"var.lik"	"a"	"b"	"mode.post"	"mean.post"	"sd.post"	"var.post"
"1"	1	1	1	9	1	9	1	1	NA	0.5	0.288675134594813	0.0833333333333333	1	9	0	0.1	0.0904534033733291	0.00818181818181818	1	9	0	0.1	0.0904534033733291	0.00818181818181818
"2"	1	1	3	30	3	30	1	1	NA	0.5	0.288675134594813	0.0833333333333333	3	30	0.0645161290322581	0.0909090909090909	0.0493023767769673	0.00243072435585805	3	30	0.0645161290322581	0.0909090909090909	0.0493023767769673	0.00243072435585805
"3"	1	1	18	57	18	57	1	1	NA	0.5	0.288675134594813	0.0833333333333333	18	57	0.232876712328767	0.24	0.0489897948556636	0.0024	18	57	0.232876712328767	0.24	0.0489897948556636	0.0024
"4"	1	1	33	74	33	74	1	1	NA	0.5	0.288675134594813	0.0833333333333333	33	74	0.304761904761905	0.308411214953271	0.0444403196812682	0.00197494201337332	33	74	0.304761904761905	0.308411214953271	0.0444403196812682	0.00197494201337332
"5"	1	1	48	85	48	85	1	1	NA	0.5	0.288675134594813	0.0833333333333333	48	85	0.358778625954198	0.360902255639098	0.041488338364552	0.00172128222025156	48	85	0.358778625954198	0.360902255639098	0.041488338364552	0.00172128222025156
"6"	1	1	67	101	67	101	1	1	NA	0.5	0.288675134594813	0.0833333333333333	67	101	0.397590361445783	0.398809523809524	0.0376656489342103	0.00141870110963518	67	101	0.397590361445783	0.398809523809524	0.0376656489342103	0.00141870110963518
"7"	1	1	87	119	87	119	1	1	NA	0.5	0.288675134594813	0.0833333333333333	87	119	0.42156862745098	0.422330097087379	0.0343305462623904	0.00117858640667413	87	119	0.42156862745098	0.422330097087379	0.0343305462623904	0.00117858640667413
"8"	1	1	105	131	105	131	1	1	NA	0.5	0.288675134594813	0.0833333333333333	105	131	0.444444444444444	0.444915254237288	0.0322807875340028	0.00104204924381543	105	131	0.444444444444444	0.444915254237288	0.0322807875340028	0.00104204924381543
"9"	1	1	116	149	116	149	1	1	NA	0.5	0.288675134594813	0.0833333333333333	116	149	0.437262357414449	0.437735849056604	0.0304183348638958	0.000925275095892098	116	149	0.437262357414449	0.437735849056604	0.0304183348638958	0.000925275095892098
"10"	1	1	134	162	134	162	1	1	NA	0.5	0.288675134594813	0.0833333333333333	134	162	0.452380952380952	0.452702702702703	0.0288828450749601	0.000834218739624145	134	162	0.452380952380952	0.452702702702703	0.0288828450749601	0.000834218739624145
"11"	1	1	147	172	147	172	1	1	NA	0.5	0.288675134594813	0.0833333333333333	147	172	0.460567823343849	0.460815047021944	0.027864882662822	0.000776451685812836	147	172	0.460567823343849	0.460815047021944	0.027864882662822	0.000776451685812836
