"year"	"IN"	"OUT"	"s"	"f"	"indiff"	"f.indiff"	"s.indiff"	"N"	"IN.cs"	"OUT.cs"	"s.cs"	"f.cs"	"indiff.cs"	"f.indiff.cs"	"s.indiff.cs"	"N.cs"
"1"	1992	32	8	0	8	0	8	0	8	32	8	0	8	0	8	0	8
"2"	1993	49	23	2	21	0	21	2	23	81	31	2	29	0	29	2	31
"3"	1994	39	42	15	27	0	27	15	42	120	73	17	56	0	56	17	73
"4"	1995	29	32	15	17	0	17	15	32	149	105	32	73	0	73	32	105
"5"	1996	31	26	15	11	0	11	15	26	180	131	47	84	0	84	47	131
"6"	1997	30	35	19	16	0	16	19	35	210	166	66	100	0	100	66	166
"7"	1998	36	38	20	18	0	18	20	38	246	204	86	118	0	118	86	204
"8"	1999	33	30	18	12	0	12	18	30	279	234	104	130	0	130	104	234
"9"	2000	27	29	11	18	0	18	11	29	306	263	115	148	0	148	115	263
"10"	2001	28	31	18	13	0	13	18	31	334	294	133	161	0	161	133	294
"11"	2002	25	23	13	10	0	10	13	23	359	317	146	171	0	171	146	317
"12"	2003	21	27	17	10	0	10	17	27	380	344	163	181	0	181	163	344
"13"	2004	22	17	12	5	0	5	12	17	402	361	175	186	0	186	175	361
"14"	2005	15	28	14	8	6	14	20	28	417	389	189	194	6	200	195	389
"15"	2006	23	17	11	3	3	6	14	17	440	406	200	197	9	206	209	406
"16"	2007	21	20	17	3	0	3	17	20	461	426	217	200	9	209	226	426
"17"	2008	12	17	8	7	2	9	10	17	473	443	225	207	11	218	236	443
"18"	2009	27	26	9	16	1	17	10	26	500	469	234	223	12	235	246	469
"19"	2010	24	20	7	12	1	13	8	20	524	489	241	235	13	248	254	489
"20"	2011	17	15	10	5	0	5	10	15	541	504	251	240	13	253	264	504
"21"	2012	13	18	13	5	0	5	13	18	554	522	264	245	13	258	277	522
"22"	2013	18	18	11	7	0	7	11	18	572	540	275	252	13	265	288	540
"23"	2014	15	23	7	14	2	16	9	23	587	563	282	266	15	281	297	563
"24"	2015	10	15	6	7	2	9	8	15	597	578	288	273	17	290	305	578
"25"	2016	12	12	2	10	0	10	2	12	609	590	290	283	17	300	307	590
"26"	2017	4	12	8	4	0	4	8	12	613	602	298	287	17	304	315	602
