libnam	version
1	admisc	0.33
2	agridat	1.21
3	Amelia	1.8.1
4	appell	0.0-4
5	arm	1.13-1
6	askpass	1.1
7	autoimage	2.2.3
8	backports	1.4.1
9	Barnard	1.8
10	bayesboot	0.2.2
11	BayesFactor	0.9.12-4.4
12	BayesianFirstAid	0.1
13	bayesplot	1.10.0
14	bayestestR	0.13.1
15	bbmle	1.0.25
16	bdsmatrix	1.3-6
17	beeswarm	0.4.0
18	BEST	0.5.4
19	BH	1.81.0-1
20	binom	1.1-1.1
21	bitops	1.0-7
22	BlandAltmanLeh	0.3.1
23	Bolstad	0.2-41
24	brew	1.0-8
25	bridgesampling	1.1-2
26	brio	1.1.3
27	brms	2.19.0
28	Brobdingnag	1.2-9
29	broom	1.0.5
30	BRugs	0.9-2
31	bslib	0.5.0
32	ca	0.71.1
33	cachem	1.0.8
34	callr	3.7.3
35	car	3.1-2
36	carData	3.0-5
37	cellranger	1.1.0
38	classInt	0.4-9
39	cli	3.6.1
40	clipr	0.8.0
41	cmdstanr	0.6.0
42	coin	1.4-2
43	colourpicker	1.2.0
44	combinat	0.0-8
45	commonmark	1.9.0
46	contfrac	1.1-12
47	corrgram	1.14
48	corrplot	0.92
49	cowplot	1.1.1
50	cpp11	0.4.5
51	credentials	1.3.2
52	crosstalk	1.2.0
53	cubature	2.1.0
54	curl	5.0.1
55	dabestr	0.3.0
56	datawizard	0.8.0
57	deldir	1.0-9
58	desc	1.4.2
59	deSolve	1.36
60	devtools	2.4.5
61	diagram	1.6.5
62	diffobj	0.3.5
63	displayHTS	1.0
64	distributional	0.3.2
65	dotCall64	1.0-2
66	downlit	0.4.3
67	dplyr	1.1.2
68	DT	0.28
69	dygraphs	1.1.1.6
70	e1071	1.7-13
71	effectsize	0.8.3
72	effsize	0.8.1
73	eha	2.10.3
74	ellipsis	0.3.2
75	elliptic	1.4-0
76	emdbook	1.3.13
77	emmeans	1.4.1
78	entropy	1.3.1
79	estimability	1.4.1
80	evaluate	0.21
81	evd	2.3-6.1
82	evmix	2.12
83	Exact	3.2
84	exact2x2	1.6.8
85	exactci	1.4-2
86	expm	0.999-7
87	faraway	1.0.8
88	farver	2.1.1
89	fastcluster	1.2.3
90	fastGHQuad	1.0.1
91	fastmap	1.1.1
92	fields	14.1
93	fontawesome	0.5.1
94	forcats	1.0.0
95	fs	1.6.3
96	future	1.33.0
97	gamm4	0.2-6
98	gear	0.3.4
99	gender	0.5.2
100	generics	0.1.3
101	gert	1.9.2
102	ggbeeswarm	0.7.2
103	ggdist	3.3.0
104	ggforce	0.4.1
105	ggplot2	3.4.2
106	ggpubr	0.6.0
107	ggrepel	0.9.3
108	ggridges	0.5.4
109	ggsci	3.0.0
110	ggsignif	0.6.4
111	gh	1.4.0
112	gitcreds	0.1.2
113	gld	2.6.6
114	glmmTMB	1.1.7
115	glmnet	4.1-7
116	globals	0.16.2
117	glue	1.6.2
118	gnm	1.1-2
119	gtools	3.9.4
120	haven	2.5.3
121	HDInterval	0.2.4
122	heatmap.plus	1.3
123	heatmap3	1.1.9
124	here	1.0.1
125	hmclearn	0.0.5
126	htmltools	0.5.5
127	htmlwidgets	1.6.2
128	httr	1.4.6
129	httr2	0.2.3
130	hypergeo	1.2-13
131	igraph	1.5.0.1
132	ini	0.3.1
133	inline	0.3.19
134	insight	0.19.3
135	isoband	0.2.7
136	ISOcodes	2022.09.29
137	jmvcore	2.3.19
138	jomo	2.7-6
139	jquerylib	0.1.4
140	knitr	1.43
141	kutils	1.72
142	LaplacesDemon	16.1.6
143	LearnBayes	2.15.1
144	libcoin	1.0-9
145	lifecycle	1.0.3
146	listenv	0.9.0
147	lme4	1.1-34
148	lmerTest	3.1-3
149	lmom	2.9
150	lmtest	0.9-40
151	longpower	1.0.24
152	loo	2.6.0
153	Matrix	1.6-0
154	MatrixModels	0.5-2
